Epoch, South, Bus, temp
1443999908, 140.509347826087, 111.821369863014, 43.3
1444000208, 140.370108695652, 111.818082191781, 42.8
1444000508, 140.456304347826, 111.827260273973, 42.8
1444000808, 140.525652173913, 111.820821917808, 42.8
1444001108, 140.445217391304, 111.793698630137, 42.8
1444001408, 140.502717391304, 111.828493150685, 42.2
1444001708, 140.504347826087, 111.913424657534, 42.8
1444002008, 140.529673913043, 111.803698630137, 42.8
1444002308, 140.674456521739, 111.838493150685, 42.2
1444002608, 140.515217391304, 111.81904109589, 42.2
1444002908, 140.566739130435, 111.868767123288, 42.2
1444003208, 140.671304347826, 111.882876712329, 41.7
1444003508, 140.650543478261, 111.887123287671, 41.7
1444003808, 140.727826086957, 111.902739726027, 42.2
1444004108, 140.664565217391, 112.033150684932, 41.7
1444004408, 140.667717391304, 111.910136986301, 41.2
1444004708, 140.707826086957, 111.919452054795, 41.2
1444005008, 140.778260869565, 112.002328767123, 41.7
1444005308, 140.697282608696, 111.957534246575, 40.6
1444005608, 140.750326086957, 111.958904109589, 41.2
1444005908, 140.785543478261, 111.974383561644, 40.6
1444006208, 140.729673913043, 111.98095890411, 41.2
1444006508, 140.819347826087, 111.981232876712, 40.1
1444006808, 140.742065217391, 111.98301369863, 40.1
1444007108, 140.686304347826, 111.983698630137, 40.1
1444007408, 140.717934782609, 111.977671232877, 40.1
1444007708, 140.729565217391, 111.981917808219, 40.1
1444008008, 140.81097826087, 111.98301369863, 40.1
1444008308, 140.725217391304, 111.982876712329, 40.1
1444008608, 140.681413043478, 111.973287671233, 39.5
1444008908, 140.684456521739, 111.968493150685, 39.5
1444009208, 140.694782608696, 111.961643835616, 39.5
1444009508, 140.721630434783, 111.965342465753, 40.1
1444009808, 140.69152173913, 111.948630136986, 39.0
1444010108, 140.645760869565, 111.936438356164, 39.5
1444010408, 140.632934782609, 111.919863013699, 39.0
1444010708, 140.628260869565, 111.907123287671, 38.5
1444011008, 140.536195652174, 111.885616438356, 38.5
1444011308, 140.507173913043, 111.87602739726, 38.5
1444011608, 140.52902173913, 111.857397260274, 38.5
1444011908, 140.577717391304, 111.842328767123, 37.9
1444012208, 140.555326086957, 111.838356164384, 38.5
1444012508, 140.526739130435, 111.826575342466, 37.9
1444012808, 140.490869565217, 111.813150684932, 37.9
1444013108, 140.585869565217, 111.803698630137, 36.9
1444013408, 140.5025, 111.79698630137, 37.4
1444013708, 140.551413043478, 111.784246575342, 37.4
1444014008, 140.543586956522, 111.774109589041, 36.9
1444014308, 140.502608695652, 111.758904109589, 36.9
1444014608, 140.540434782609, 111.747397260274, 36.9
1444014908, 140.530652173913, 111.738630136986, 36.9
1444015208, 140.4925, 111.716575342466, 36.9
1444015509, 140.494782608696, 111.713424657534, 35.8
1444015808, 140.448043478261, 111.695342465753, 35.8
1444016108, 140.46, 111.687945205479, 35.8
1444016408, 140.484565217391, 111.668630136986, 35.8
1444016708, 140.457934782609, 111.672328767123, 35.8
1444017008, 140.439456521739, 111.645616438356, 35.8
1444017308, 140.462173913043, 111.645479452055, 35.8
1444017608, 140.438695652174, 111.636712328767, 35.2
1444017908, 140.388369565217, 111.623424657534, 35.8
1444018208, 140.407173913043, 111.619863013699, 34.7
